location,date,grocery,parks,residential,retail_rec,transit,workplace,GPL_CD,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT,ALL_AGES,pop_under_10,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_over_90,pop_over_70,pop_under_30,CTY18NM.x,county_gdp_pc,county_gdp_pc_growth,Area_Name,la_gdp_pc,la_gdp_pc_growth,final_gdp_cap,final_gdp_pc_growth,CTY18NM.y,county_remain,county_pop,Area,la_remain,final_remain,log_population,log_area,density,income_quint
Northumberland,2020-03-19,31.593,60.496,7.952,-7.675,-13.779,-18.931,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-20,18.996,41.274,8.738,-14.584,-19.414,-20.489,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-21,18.284,20.287,8.99,-38.542,-25.265,-20.559,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-22,0.143,30.225,7.103,-48.784,-16.721,-26.929,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-23,0.712,15.1,13.759,-37.378,-33.414,-37.558,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-24,-21.155,-16.87,19.732,-65.324,-51.034,-51.799,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-25,-21.519,-7.104,21.407,-67.262,-49.601,-58.014,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-26,-24.122,-14.972,23.299,-68.359,-55.954,-60.176,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-27,-24.752,-39.814,24.094,-72.249,-57.633,-60.5,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-28,-33.871,-67.148,18.358,-81.231,-64.443,-54.103,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-29,-41.672,-65.843,14.129,-83.826,-60.847,-54.145,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-30,-25.913,-25.791,21.986,-68.725,-56.572,-62.511,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-31,-26.988,-31.331,23.134,-69.633,-56.429,-63.993,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-04-01,-27.11,-34.433,23.289,-71.608,-56.692,-63.672,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
